id,slug,name,pattern,goal,difficulty,equipment,binder_aware,pelvic_floor_safe,heavy_binding_safe,contraindications,target_muscles,secondary_muscles,gender_goal_emphasis,dysphoria_tags,post_op_safe_weeks,cue_primary,breathing,rep_range_beginner,rep_range_intermediate,rep_range_advanced,effectiveness_rating,source,notes,created_at,updated_at,version,flags_reviewed,reviewer,video_url,thumbnail_url,media_thumb
68,donkey-kick,Donkey Kick,isolation,strength,beginner,"[""bodyweight""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"On hands and knees, kick heel toward ceiling",Exhale as you kick,12-15 each leg,15-20 each leg,20-25 each leg,9,NASM glute activation,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
69,clamshell,Clamshell,isolation,strength,beginner,"[""bodyweight""]",true,true,true,[],glutes,hip abductors,fem_high,,,"On side, knees bent, open top knee",Exhale as you open,15-20 each side,20-25 each side,25-30 each side,8,Hip stability research,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
70,scapular-push-up,Scapular Push-Up,push,strength,intermediate,"[""bodyweight""]",true,true,true,[],upper back,shoulders,masc_medium,,,"Plank position, protract and retract shoulder blades",Breathe naturally,8-10,10-12,12-15,8,NASM scapular stability,Good for post-top surgery shoulder health,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
71,farmers-carry,Farmer's Carry,carry,strength,intermediate,"[""dumbbells""]",true,true,true,[],core,"forearms, traps, shoulders",masc_high,,,"Hold heavy weights, walk with good posture",Breathe naturally,20-30 seconds,30-45 seconds,45-60 seconds,9,ACSM functional strength,"Builds ""blocky"" core for masculinization",2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
72,wall-sit,Wall Sit,squat,endurance,beginner,"[""wall""]",true,true,true,[],quads,glutes,neutral,,,"Back against wall, thighs parallel to ground",Breathe naturally,20-30 seconds,30-45 seconds,45-60 seconds,7,ACSM isometric training,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
73,kettlebell-goblet-squat,Kettlebell Goblet Squat,squat,strength,beginner,"[""kettlebell""]",true,true,true,[],"quads, glutes",core,fem_high,,,"Hold kettlebell by horns at chest, squat deep","Inhale down, exhale up",8-10,10-15,15-20,9,ACSM kettlebell training,Excellent for building lower body with core engagement,2025-11-23 20:09:39+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/ZA8b5hc.gif
74,kettlebell-swing,Kettlebell Swing,hinge,conditioning,intermediate,"[""kettlebell""]",true,true,false,[],"glutes, hamstrings","core, shoulders",fem_very_high,,,"Hip hinge, explosive hip thrust, swing to shoulder height",Exhale on hip thrust,10-15,15-20,20-30,10,Evidence-based posterior chain,#1 kettlebell exercise for glute development,2025-11-23 20:09:39+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/UHJlbu3.gif
75,kettlebell-deadlift,Kettlebell Deadlift,hinge,strength,beginner,"[""kettlebell""]",true,true,true,[],"hamstrings, glutes","lower back, core",fem_high,,,"Hinge at hips, kettlebell between feet","Inhale down, exhale up",8-10,10-12,12-15,9,NASM hinge pattern,Great for learning hip hinge,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
76,kettlebell-sumo-deadlift,Kettlebell Sumo Deadlift,hinge,strength,beginner,"[""kettlebell""]",true,true,true,[],"glutes, inner thighs","hamstrings, quads",fem_very_high,,,"Wide stance, toes out, kettlebell between legs","Inhale down, exhale up",8-12,12-15,15-20,10,NASM feminization protocols,Maximum glute activation,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
77,kettlebell-lunge,Kettlebell Lunge,lunge,strength,intermediate,"[""kettlebell""]",true,true,true,"[""early_post_op_bottom""]","quads, glutes","hamstrings, core",fem_high,,,"Hold kettlebell at chest or sides, lunge","Inhale down, exhale up",6-8 each leg,8-12 each leg,12-15 each leg,9,ACSM unilateral strength,,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
78,kettlebell-single-leg-rdl,Kettlebell Single-Leg RDL,hinge,strength,intermediate,"[""kettlebell""]",true,true,true,[],"hamstrings, glutes","core, balance",fem_high,,,"Balance on one leg, hinge at hip","Inhale down, exhale up",6-8 each leg,8-10 each leg,10-12 each leg,9,NASM balance progressions,Excellent for glute development,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
79,kettlebell-turkish-get-up,Kettlebell Turkish Get-Up,full_body,strength,advanced,"[""kettlebell""]",true,true,false,[],full body,"core, shoulders, stability",neutral,,,Lie to stand holding kettlebell overhead,Breathe naturally,2-3 each side,3-5 each side,5-8 each side,9,NASM functional movement,Full-body integration exercise,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
80,kettlebell-clean,Kettlebell Clean,pull,conditioning,intermediate,"[""kettlebell""]",true,true,false,[],full body,"hips, shoulders, core",neutral,,,Swing kettlebell from ground to rack position,Exhale at top,5-8 each arm,8-12 each arm,12-15 each arm,8,ACSM power development,Focus on technique first,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
81,kettlebell-press,Kettlebell Press,push,strength,intermediate,"[""kettlebell""]",true,true,true,[],shoulders,"triceps, core",masc_high,,,"Rack position, press kettlebell overhead",Exhale as you press,6-8 each arm,8-12 each arm,12-15 each arm,9,NASM shoulder development,Excellent for shoulder stability,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
82,kettlebell-row,Kettlebell Row,pull,strength,beginner,"[""kettlebell""]",true,true,true,[],upper back,"lats, biceps",masc_high,,,"Hinge forward, pull kettlebell to hip",Exhale as you pull,8-10 each arm,10-12 each arm,12-15 each arm,9,ACSM back development,,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
83,kettlebell-halo,Kettlebell Halo,mobility,mobility,beginner,"[""kettlebell""]",true,true,true,[],shoulders,"core, upper back",neutral,,,Circle kettlebell around head,Breathe naturally,8-10 each direction,10-12 each direction,12-15 each direction,7,NASM shoulder mobility,Great warm-up exercise,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
84,kettlebell-windmill,Kettlebell Windmill,mobility,mobility,advanced,"[""kettlebell""]",true,true,true,[],obliques,"shoulders, hips",neutral,,,"Kettlebell overhead, hinge laterally",Breathe deeply,3-5 each side,5-8 each side,8-10 each side,8,NASM functional mobility,Requires good shoulder mobility,2025-11-23 20:09:39+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/9Tkqa9O.gif
85,kettlebell-snatch,Kettlebell Snatch,pull,conditioning,advanced,"[""kettlebell""]",true,true,false,[],full body,"hips, shoulders, core",neutral,,,Swing to overhead in one motion,Exhale at top,3-5 each arm,5-8 each arm,8-12 each arm,9,ACSM power development,Master swing and clean first,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
86,kettlebell-farmers-carry,Kettlebell Farmer's Carry,carry,strength,beginner,"[""kettlebell""]",true,true,true,[],core,"forearms, traps, shoulders",masc_medium,,,"Hold kettlebells at sides, walk",Breathe naturally,20-30 seconds,30-45 seconds,45-60 seconds,9,ACSM functional strength,Builds grip strength,2025-11-23 20:09:39+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
87,kettlebell-figure-8,Kettlebell Figure-8,core,conditioning,intermediate,"[""kettlebell""]",true,true,true,[],core,"hips, forearms",neutral,,,Pass kettlebell between legs in figure-8,Breathe rhythmically,8-10,10-15,15-20,7,NASM kettlebell training,Good for coordination,2025-11-23 20:09:39+00,2025-12-04 07:51:22.466556+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/L4ay0PW.gif
88,squat-jump,Squat Jump,plyometric,conditioning,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]","quads, glutes",calves,fem_high,,,"Squat down, explosive jump up",Exhale on jump,5-8,8-12,12-15,8,NASM plyometric training,"High impact, avoid when binding",2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
89,box-step-up,Box Step-Up,lunge,strength,beginner,"[""bodyweight"", ""box""]",true,true,true,[],"quads, glutes",hamstrings,fem_high,,,"Step onto box, drive through heel",Exhale as you step up,8-10 each leg,10-12 each leg,12-15 each leg,9,ACSM unilateral training,,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
90,curtsy-lunge,Curtsy Lunge,lunge,strength,intermediate,"[""bodyweight""]",true,true,true,[],glutes,"quads, inner thighs",fem_very_high,,,"Step back and across, like a curtsy","Inhale down, exhale up",8-10 each leg,10-12 each leg,12-15 each leg,9,NASM glute targeting,Excellent for lateral glute activation,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
91,pistol-squat-assisted,Pistol Squat (Assisted),squat,strength,advanced,"[""bodyweight""]",true,true,false,[],"quads, glutes","core, balance",neutral,,,"Single-leg squat, hold support for balance","Inhale down, exhale up",3-5 each leg,5-8 each leg,8-12 each leg,9,NASM advanced progressions,Requires significant strength and mobility,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
92,bear-crawl,Bear Crawl,full_body,conditioning,intermediate,"[""bodyweight""]",true,true,false,[],core,"shoulders, quads",neutral,,,"On hands and feet, crawl forward",Breathe rhythmically,20 seconds,30 seconds,45 seconds,8,NASM movement training,Full-body coordination exercise,2025-11-23 20:10:11+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/0Yz8WdV.gif
93,hollow-body-hold,Hollow Body Hold,core,strength,intermediate,"[""bodyweight""]",true,true,true,[],abs,hip flexors,neutral,,,"Press lower back to ground, extend arms and legs",Breathe shallowly,15-20 seconds,20-30 seconds,30-45 seconds,9,NASM core stability,Advanced core exercise,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
94,archer-push-up,Archer Push-Up,push,strength,advanced,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""tight_binder""]",pectorals,"triceps, shoulders",masc_high,,,"Wide hand position, shift weight to one side","Inhale down, exhale up",3-5 each side,5-8 each side,8-12 each side,9,NASM push-up progressions,Progression toward one-arm push-up,2025-11-23 20:10:11+00,2025-12-04 07:51:22.466556+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/A9qxk2F.gif
95,jump-lunge,Jump Lunge,plyometric,conditioning,advanced,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]","quads, glutes",calves,fem_medium,,,"Lunge position, jump and switch legs",Exhale on jump,6-8 total,8-12 total,12-16 total,8,ACSM plyometric training,"High intensity, not for binding",2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
96,wall-angels,Wall Angels,mobility,mobility,beginner,"[""wall""]",true,true,true,[],shoulders,upper back,neutral,,,"Back against wall, slide arms up and down",Breathe naturally,8-10,10-12,12-15,8,NASM shoulder mobility,Great for posture and shoulder health,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
97,bridge-march,Bridge March,hinge,strength,intermediate,"[""bodyweight""]",true,true,true,[],glutes,"hamstrings, core",fem_high,,,"Bridge position, alternate lifting each foot",Breathe naturally,10-12 each leg,12-15 each leg,15-20 each leg,8,NASM glute activation,Challenges glute stability,2025-11-23 20:10:11+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
98,dumbbell-chest-fly,Dumbbell Chest Fly,push,strength,intermediate,"[""dumbbells"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",pectorals,shoulders,masc_medium,,,"Open arms wide, arc dumbbells together","Inhale down, exhale up",8-10,10-12,12-15,8,ACSM chest isolation,Post-top surgery Week 8+,2025-11-23 20:11:07+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
99,dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,pull,strength,beginner,"[""dumbbells""]",true,true,true,[],rear delts,upper back,masc_high,,,"Hinge forward, raise dumbbells to sides",Exhale as you raise,10-12,12-15,15-20,9,NASM shoulder balance,Important for shoulder health,2025-11-23 20:11:07+00,2025-11-23 21:39:29.28701+00,1,true,Clinical Team + ACSM/NASM Standards,,,
100,dumbbell-arnold-press,Dumbbell Arnold Press,push,strength,intermediate,"[""dumbbells""]",true,true,true,[],shoulders,triceps,masc_very_high,,,Rotate palms as you press overhead,Exhale as you press,6-8,8-12,12-15,10,NASM shoulder development,Hits all three shoulder heads,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/Xy4jlWA.gif
101,dumbbell-shrug,Dumbbell Shrug,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],traps,neck,masc_medium,,,"Shrug shoulders straight up, squeeze traps",Exhale as you shrug,10-12,12-15,15-20,7,ACSM trap development,,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/NJzBsGJ.gif
102,dumbbell-concentration-curl,Dumbbell Concentration Curl,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],biceps,,masc_high,,,"Elbow braced on thigh, curl dumbbell",Exhale as you curl,8-10 each arm,10-12 each arm,12-15 each arm,8,NASM bicep isolation,Peak bicep contraction,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/gvsWLQw.gif
103,dumbbell-tricep-kickback,Dumbbell Tricep Kickback,isolation,strength,beginner,"[""dumbbells""]",true,true,true,[],triceps,,masc_medium,,,"Hinge forward, extend arm back",Exhale as you extend,10-12 each arm,12-15 each arm,15-20 each arm,7,ACSM tricep isolation,,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
104,dumbbell-split-squat,Dumbbell Split Squat,lunge,strength,intermediate,"[""dumbbells""]",true,true,true,[],"quads, glutes",hamstrings,fem_high,,,"Static lunge position, lower and raise","Inhale down, exhale up",8-10 each leg,10-12 each leg,12-15 each leg,9,NASM unilateral training,,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
105,dumbbell-hip-thrust,Dumbbell Hip Thrust,hinge,strength,intermediate,"[""dumbbells"", ""bench""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"Upper back on bench, dumbbell on hips, thrust up",Exhale as you thrust,10-12,12-15,15-20,10,Glute hypertrophy research,Excellent glute builder,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
106,dumbbell-pullover,Dumbbell Pullover,pull,strength,intermediate,"[""dumbbells"", ""bench""]",true,true,true,[],lats,"pectorals, core",masc_high,,,"Lie across bench, arc dumbbell overhead","Inhale back, exhale forward",8-10,10-12,12-15,8,NASM lat development,Also engages chest,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/9XjtHvS.gif
107,dumbbell-floor-press,Dumbbell Floor Press,push,strength,beginner,"[""dumbbells""]",true,true,true,[],pectorals,triceps,masc_medium,,,"Lie on floor, press dumbbells up","Inhale down, exhale up",8-10,10-12,12-15,8,ACSM chest training,Safer range of motion for shoulders,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
108,barbell-front-squat,Barbell Front Squat,squat,strength,advanced,"[""barbell""]",true,true,false,[],quads,"glutes, core",neutral,,,"Bar on front shoulders, squat deep","Inhale down, exhale up",5-8,8-10,6-12,10,ACSM quad development,More quad emphasis than back squat,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/zG0zs85.gif
109,barbell-sumo-deadlift,Barbell Sumo Deadlift,hinge,strength,intermediate,"[""barbell""]",true,true,true,[],"glutes, inner thighs","hamstrings, quads",fem_very_high,,,"Wide stance, toes out, pull bar up","Hold breath, exhale at top",5-8,6-10,8-12,10,NASM feminization protocols,Excellent for glute and adductor strength,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/KgI0tqW.gif
110,barbell-incline-press,Barbell Incline Press,push,strength,intermediate,"[""barbell"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",upper pectorals,"shoulders, triceps",masc_high,,,"Bench at 30-45 degrees, press bar up","Inhale down, exhale up",6-8,8-10,5-12,9,NASM upper chest development,Post-top surgery Week 12+,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
111,barbell-close-grip-bench,Barbell Close-Grip Bench Press,push,strength,intermediate,"[""barbell"", ""bench""]",false,true,false,"[""heavy_binding"",""tight_binder""]",triceps,"pectorals, shoulders",masc_high,,,"Hands shoulder-width, elbows close to body","Inhale down, exhale up",6-8,8-10,8-12,9,ACSM tricep development,,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/J6Dx1Mu.gif
112,barbell-upright-row,Barbell Upright Row,pull,strength,intermediate,"[""barbell""]",true,true,true,[],shoulders,traps,masc_high,,,"Pull bar to chest level, elbows high",Exhale as you pull,8-10,10-12,12-15,8,NASM shoulder training,"Use moderate weight, avoid shoulder pain",2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/UDlhcO8.gif
113,barbell-shrug,Barbell Shrug,isolation,strength,beginner,"[""barbell""]",true,true,true,[],traps,neck,masc_medium,,,"Shrug shoulders up, hold at top",Exhale as you shrug,10-12,12-15,15-20,8,ACSM trap development,,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/dG7tG5y.gif
114,barbell-lunge,Barbell Lunge,lunge,strength,intermediate,"[""barbell""]",true,true,false,"[""early_post_op_bottom""]","quads, glutes","hamstrings, core",fem_high,,,"Bar on back, lunge forward","Inhale down, exhale up",6-8 each leg,8-10 each leg,10-12 each leg,9,NASM loaded lunges,,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/t8iSghb.gif
115,barbell-good-morning,Barbell Good Morning,hinge,strength,advanced,"[""barbell""]",true,true,true,[],hamstrings,"lower back, glutes",neutral,,,"Bar on back, hinge forward at hips","Inhale down, exhale up",6-8,8-10,10-12,8,ACSM posterior chain,"Requires good form, start light",2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/XlZ4lAC.gif
116,barbell-glute-bridge,Barbell Glute Bridge,hinge,strength,intermediate,"[""barbell""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"Bar on hips, bridge up from floor",Exhale as you lift,8-10,10-15,15-20,10,Glute development research,Variation of hip thrust,2025-11-23 20:11:07+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/qKBpF7I.gif
117,barbell-landmine-press,Barbell Landmine Press,push,strength,intermediate,"[""barbell""]",true,true,true,[],shoulders,"chest, core",masc_high,,,"Bar in landmine, press at angle",Exhale as you press,8-10,10-12,12-15,9,NASM functional pressing,Shoulder-friendly press variation,2025-11-23 20:11:07+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
118,band-squat-with-abduction,Band Squat with Abduction,squat,strength,beginner,"[""resistance_band""]",true,true,true,[],glutes,"quads, hip abductors",fem_very_high,,,"Band around knees, squat and push knees out","Inhale down, exhale up",12-15,15-20,20-25,9,NASM glute activation,Excellent for glute medius activation,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
119,band-romanian-deadlift,Band Romanian Deadlift,hinge,strength,beginner,"[""resistance_band""]",true,true,true,[],"hamstrings, glutes",lower back,fem_high,,,"Stand on band, hinge at hips","Inhale down, exhale up",12-15,15-20,20-25,8,ACSM home training,,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
120,band-kickback,Band Kickback,isolation,strength,beginner,"[""resistance_band""]",true,true,true,[],glutes,hamstrings,fem_very_high,,,"Band around ankles, kick leg back",Exhale as you kick,15-20 each leg,20-25 each leg,25-30 each leg,8,NASM glute isolation,Great for glute activation,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
121,band-clamshell,Band Clamshell,isolation,strength,beginner,"[""resistance_band""]",true,true,true,[],glutes,hip abductors,fem_high,,,"Band around knees, side-lying, open top knee",Exhale as you open,15-20 each side,20-25 each side,25-30 each side,9,Hip stability research,Essential for glute medius,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
122,band-face-pull,Band Face Pull,pull,strength,beginner,"[""resistance_band""]",true,true,true,[],rear delts,upper back,masc_high,,,"Pull band to face, elbows high",Exhale as you pull,15-20,20-25,25-30,9,NASM shoulder health,Important for posture,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
123,band-tricep-pushdown,Band Tricep Pushdown,isolation,strength,beginner,"[""resistance_band""]",true,true,true,[],triceps,,masc_medium,,,"Band overhead, push down with elbows fixed",Exhale as you push,12-15,15-20,20-25,7,ACSM tricep training,,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
124,band-upright-row,Band Upright Row,pull,strength,beginner,"[""resistance_band""]",true,true,true,[],shoulders,traps,masc_medium,,,"Stand on band, pull to chest level",Exhale as you pull,12-15,15-20,20-25,7,NASM shoulder training,,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
125,band-single-arm-row,Band Single-Arm Row,pull,strength,beginner,"[""resistance_band""]",true,true,true,[],lats,"biceps, upper back",masc_high,,,"Anchor band, pull to hip",Exhale as you pull,12-15 each arm,15-20 each arm,20-25 each arm,8,ACSM back training,,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
126,band-woodchop,Band Woodchop,core,strength,intermediate,"[""resistance_band""]",true,true,true,[],obliques,"core, shoulders",neutral,,,"Rotate torso, pull band diagonally",Exhale as you rotate,10-12 each side,12-15 each side,15-20 each side,8,NASM rotational training,Functional core exercise,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
127,band-leg-press,Band Leg Press,squat,strength,beginner,"[""resistance_band""]",true,true,true,[],quads,glutes,fem_medium,,,"Lie on back, push band with feet",Exhale as you press,15-20,20-25,25-30,7,ACSM home training,Low-impact quad work,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
128,burpee,Burpee,cardio,conditioning,advanced,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]",full body,cardiovascular system,neutral,,,"Squat, plank, push-up, jump",Rhythmic breathing,5-8,8-12,12-20,9,HIIT protocols,"High intensity, avoid when binding",2025-11-23 20:12:03+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/dK9394r.gif
129,jump-rope,Jump Rope,cardio,conditioning,beginner,"[""jump_rope""]",false,true,false,"[""heavy_binding""]",cardiovascular system,calves,neutral,,,"Jump with rope, maintain rhythm",Breathe rhythmically,30-60 seconds,1-2 minutes,2-5 minutes,9,ACSM cardio training,Take breathing breaks if binding,2025-11-23 20:12:03+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/e1e76I2.gif
130,stair-climbing,Stair Climbing,cardio,endurance,beginner,"[""stairs""]",true,true,true,[],cardiovascular system,"quads, glutes, calves",fem_medium,,,Climb stairs at steady pace,Breathe naturally,5-10 minutes,10-15 minutes,15-20 minutes,8,ACSM cardiovascular training,Excellent binding-safe cardio with glute activation,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
131,elliptical,Elliptical Training,cardio,endurance,beginner,"[""elliptical""]",true,true,true,[],cardiovascular system,"legs, glutes",neutral,,,"Maintain steady pace, engage core",Breathe naturally,15-20 minutes,25-35 minutes,40-60 minutes,8,ACSM low-impact cardio,Excellent binding-safe option,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
132,rowing-machine,Rowing Machine,cardio,endurance,intermediate,"[""rowing_machine""]",true,true,false,[],cardiovascular system,full body,neutral,,,"Drive with legs, pull with arms, maintain rhythm",Exhale on drive,10-15 minutes,20-30 minutes,30-45 minutes,10,ACSM full-body cardio,"Full-body cardio, excellent conditioning",2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
133,battle-ropes,Battle Ropes,cardio,conditioning,intermediate,"[""battle_ropes""]",true,true,false,[],shoulders,"core, cardiovascular system",masc_medium,,,"Create waves with ropes, maintain intensity",Breathe rhythmically,20-30 seconds,30-45 seconds,45-60 seconds,9,HIIT protocols,High intensity shoulder and cardio work,2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
134,box-jumps,Box Jumps,plyometric,conditioning,advanced,"[""box""]",false,true,false,"[""heavy_binding"",""early_post_op_bottom""]","quads, glutes","calves, cardiovascular system",neutral,,,"Jump onto box, land softly, step down",Exhale on jump,5-8,8-12,12-15,9,NASM plyometric training,"High impact, not for binding or early post-op",2025-11-23 20:12:03+00,2025-11-23 21:39:29.774885+00,1,true,Clinical Team + ACSM/NASM Standards,,,
